clinched_playoffs,draft_grade,faab_balance,has_draft_grade,name,number_of_moves,number_of_trades,team_id,team_key,waiver_priority,roster_adds.coverage_value,roster_adds.value,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,manager_id,nickname,game_id,league_id
,A-,81.0,1,Sign it Melvin,6,8,5,390.l.215172.t.5,2,17,0,7,0.4620000123977661,0,6,8.0,1445.4599609375,1440.1400146484375,8,win,2,5,Jeremy,390,215172
,C+,0.0,1,Deckers Barn animals,31,1,2,390.l.215172.t.2,7,17,0,6,0.5379999876022339,0,7,7.0,1413.9000244140625,1387.219970703125,9,win,2,2,Kevin,390,215172
,C,0.0,1,Chubbin Around,55,9,1,390.l.215172.t.1,9,17,0,7,0.4620000123977661,0,6,9.0,1459.8399658203125,1390.5799560546875,10,loss,2,1,Tim,390,215172
1.0,B-,,1,Down with the Brown,44,5,6,331.l.793441.t.6,6,17,0,3,0.7689999938011169,0,10,2.0,1208.4599609375,1425.260009765625,1,win,2,6,--hidden--,331,793441
1.0,B+,,1,Assaulted by Nation,21,1,7,331.l.793441.t.7,9,17,0,3,0.7689999938011169,0,10,1.0,1352.739990234375,1473.8800048828125,2,win,1,7,--hidden--,331,793441
1.0,C,,1,Kelvin and not Cobbs,43,2,5,331.l.793441.t.5,7,17,0,6,0.5379999876022339,0,7,4.0,1247.8599853515625,1358.780029296875,3,win,4,5,--hidden--,331,793441
1.0,B,,1,Fig Newtons ftw,3,3,3,331.l.793441.t.3,1,17,0,6,0.5379999876022339,0,7,6.0,1201.800048828125,1230.8399658203125,4,loss,1,3,--hidden--,331,793441
1.0,A,,1,Jake's Okay Team,3,1,4,331.l.793441.t.4,2,17,0,6,0.5379999876022339,0,7,5.0,1268.219970703125,1236.3399658203125,5,loss,1,4,--hidden--,331,793441
1.0,B+,,1,RGIIIsome,37,1,10,331.l.793441.t.10,5,17,0,5,0.6150000095367432,0,8,3.0,1152.6199951171875,1215.4200439453125,6,win,3,10,--hidden--,331,793441
,C+,,1,The Sanchize,31,1,1,331.l.793441.t.1,8,17,0,10,0.23100000619888306,0,3,9.0,1289.699951171875,1122.0400390625,7,loss,4,1,--hidden--,331,793441
,C,,1,Feel the Brees,12,2,9,331.l.793441.t.9,3,17,0,11,0.15399999916553497,0,2,10.0,1296.280029296875,1046.6600341796875,8,loss,3,9,--hidden--,331,793441
,B,,1,PIERCEd Nips,36,2,8,331.l.793441.t.8,10,17,0,9,0.30799999833106995,0,4,8.0,1306.8599853515625,1187.300048828125,9,loss,6,8,--hidden--,331,793441
,B,,1,Staff Infection,16,0,2,331.l.793441.t.2,4,17,0,6,0.5379999876022339,0,7,7.0,1168.1800537109375,1196.199951171875,10,win,1,2,--hidden--,331,793441
1.0,B,,1,Dirty Duke Dawgs,25,0,8,314.l.731544.t.8,9,17,0,4,0.7139999866485596,0,10,1.0,1185.1600341796875,1449.199951171875,1,loss,1,8,--hidden--,314,731544
1.0,C+,,1,Riley KKKooper,35,1,2,314.l.731544.t.2,12,17,0,4,0.7139999866485596,0,10,3.0,1258.47998046875,1393.9200439453125,2,win,2,2,--hidden--,314,731544
1.0,B,,1,Vagina Slappers,61,4,5,314.l.731544.t.5,11,17,0,4,0.7139999866485596,0,10,2.0,1283.699951171875,1404.260009765625,3,loss,2,5,--hidden--,314,731544
1.0,B,,1,Shinnanigons,35,3,4,314.l.731544.t.4,10,17,0,7,0.5,0,7,4.0,1321.0799560546875,1471.1600341796875,4,win,4,4,--hidden--,314,731544
,C,,1,Free Mustache Rides,8,2,12,314.l.731544.t.12,3,17,0,7,0.5,0,7,6.0,1233.9200439453125,1229.93994140625,5,win,1,12,--hidden--,314,731544
,B,,1,Jacquizz on yo face,30,2,10,314.l.731544.t.10,8,17,0,8,0.42899999022483826,0,6,8.0,1344.0999755859375,1312.97998046875,6,loss,1,10,--hidden--,314,731544
,C,,1,Talk Dirty to Me,12,1,11,314.l.731544.t.11,6,17,0,7,0.5,0,7,5.0,1311.0999755859375,1349.280029296875,7,win,1,11,--hidden--,314,731544
,C,,1,Jake's Team,10,0,1,314.l.731544.t.1,1,17,0,7,0.5,0,7,7.0,1348.300048828125,1166.1199951171875,8,loss,1,1,--hidden--,314,731544
,A+,,1,Cleveland Steamers,12,2,9,314.l.731544.t.9,7,17,0,8,0.42899999022483826,0,6,,1357.9200439453125,1248.300048828125,9,win,2,9,--hidden--,314,731544
,B,,1,Brian Dawson's Team,1,1,6,314.l.731544.t.6,5,17,0,9,0.3569999933242798,0,5,,1303.719970703125,1204.199951171875,10,win,1,6,--hidden--,314,731544
,B-,,1,Ridley Me This,12,0,3,314.l.731544.t.3,2,17,0,9,0.3569999933242798,0,5,,1342.760009765625,1153.0,11,loss,2,3,--hidden--,314,731544
,B,,1,Johnson and Johnson,32,2,7,314.l.731544.t.7,4,17,0,10,0.28600001335144043,0,4,,1313.199951171875,1221.0799560546875,12,loss,5,7,--hidden--,314,731544
1.0,,,0,The Fear Boners,36,10,4,273.l.777818.t.4,7,17,0,7,0.5,0,7,6.0,1306.1800537109375,1255.739990234375,1,loss,4,4,--hidden--,273,777818
1.0,,,0,ELE,4,1,6,273.l.777818.t.6,9,17,0,7,0.5,0,7,4.0,1291.9599609375,1383.1199951171875,2,win,3,6,--hidden--,273,777818
1.0,,,0,ghost,55,3,12,273.l.777818.t.12,6,17,5,8,0.42899999022483826,0,6,7.0,1321.739990234375,1296.1400146484375,3,loss,2,12,--hidden--,273,777818
1.0,,,0,Goons,19,0,7,273.l.777818.t.7,12,17,0,3,0.7860000133514404,0,11,1.0,1208.43994140625,1419.760009765625,4,win,2,7,--hidden--,273,777818
1.0,,,0,Taco,54,8,1,273.l.777818.t.1,5,17,0,8,0.42899999022483826,0,6,8.0,1259.4200439453125,1251.97998046875,5,win,2,1,--hidden--,273,777818
1.0,,,0,Tebowners,2,1,10,273.l.777818.t.10,11,17,0,5,0.6430000066757202,0,9,2.0,1287.6199951171875,1473.93994140625,6,loss,1,10,--hidden--,273,777818
1.0,,,0,Ruxin,17,1,9,273.l.777818.t.9,8,17,0,7,0.5,0,7,5.0,1364.6800537109375,1282.4200439453125,7,loss,2,9,--hidden--,273,777818
1.0,,,0,Bro Lo El Cunado,11,0,2,273.l.777818.t.2,10,17,0,5,0.6430000066757202,0,9,3.0,1277.0,1396.1600341796875,8,loss,1,2,--hidden--,273,777818
,,,0,Potatum,4,0,8,273.l.777818.t.8,4,17,0,8,0.42899999022483826,0,6,,1236.8599853515625,1235.97998046875,9,win,1,8,--hidden--,273,777818
,,,0,Cudde2,20,1,3,273.l.777818.t.3,3,17,1,8,0.42899999022483826,0,6,,1272.6800537109375,1232.5999755859375,10,win,1,3,--hidden--,273,777818
,,,0,La Flama Blanca,37,1,11,273.l.777818.t.11,2,17,0,8,0.42899999022483826,0,6,,1333.56005859375,1213.8399658203125,11,win,3,11,--hidden--,273,777818
,,,0,Role players for day,12,0,5,273.l.777818.t.5,1,17,0,10,0.28600001335144043,0,4,,1472.56005859375,1191.02001953125,12,loss,5,5,--hidden--,273,777818
